Name,Transmitter Code,Territory,Primary IPI Name Number,Start Date,End Date
Compact Collections Ltd,COM,,600865859,04/01/2016,
Compact Music Services Ltd,CMS,,646140069,20/01/2016,
COMPASS,106,Singapore,,,
Conexion Media Group Inc,CMI,,627689894,26/02/2014,
Conexion Media Group Inc,CON,,627689894,04/04/2012,
Conexion Music Limited,CMI,,584135442,19/06/2014,
Conexion Music Limited,CON,,584135442,27/02/2014,
Cooking Vinyl Publishing,CVP,,630343877,04/09/2013,
COPY-DAN BILLEDKUNST,139,Denmark,,,
Copyright Administration Services Limited,CAS,,502643585,10/10/2011,
Copyright Power International B V,CPI,,503060215,15/07/2010,
Copyright.Net,CN,,204966565,30/01/2000,
COPYRO,179,Romania,,,
Corbeau Publishing Scandinavia Ab,COR,,267803837,29/04/2010,
Cordova Bay Mus Pubg Ii,CBE,,531881354,19/05/2015,
Cordova Bay Music Publishing,CBE,,279496894,19/05/2015,
COSCAP,180,Barbados,,,
COSGA,123,Ghana,,,
COSOMA,124,Malawi,,,
COSOTA,223,"Tanzania, United Republic Of ",,,
COTT,96,Trinidad & Tobago,,,
CP MASTERS BELGIUM,CPM,,563928515,14/10/2008,
Cp Masters Scandinavia,CPS,,601006421,13/08/2010,
CPSN,181,Nepal,,,
CREAIMAGEN,182,Chile,,,
Criskos Music,CRI,,827747797,14/02/2017,
CROSSROAD PUBLISHING,CRO,,427513762,20/02/2007,
CSCS,183,Canada,,,
CTM Entertainment Belgium,CTM,,753309443,17/10/2014,
CV America Music,CVA,,687177002,03/06/2014,
DACS,153,United Kingdom,,,
DALRO,142,South Africa,,,
Dan Hodges Publishing Llc,DHM,,554652439,22/10/2009,
David Media,DAV,,250568078,09/07/2012,
Deep East Music Ltd,DEM,,532423974,25/02/2013,
Defensive Music Ltd,DEF,,649703812,24/05/2012,
Dennis Music International Ltd,DEN,,40105935,04/08/2010,
Dennis Music Limited (Gb),DML,,249145656,04/08/2010,
DGA,184,United States,,,
DiPiuSRL,DP,,161589356,04/01/2010,
DILIA,31,Czech Republic,,,
DIRECTORES,185,Mexico,,,
Discovering Arts Music Group Edition,ART,,682686891,29/08/2012,
Discovery Trademark Holding,DSC,,402357001,19/04/2011,
DISCOVERY TRADEMARK HOLDING COMPANY INC,DT,,402357001,22/08/2008,
District 6 Music Publishing Limited,D6M,,615325863,06/12/2013,
District 6 Music Publishing Limited,EPM,,615325863,07/09/2010,12/05/2013
DIVA,310,Hong Kong,,,
Dj Publishing,DJP,,472380650,05/08/2015,
Dna Musik Gmbh,DNA,,601961958,13/05/2013,
Dne Music Publishing Limited,DM,,507134091,03/08/2010,
Do Diese Editions,DOD,,148960539,08/04/2013,
DOMINO PUBLISHING COMPANY LIMITED,DOM,,480281853,12/02/2009,
DOMINO PUBLISHING COMPANY SCANDINAVIA,DOM,,556729609,05/03/2009,
Doorn Music Publishing,DO,,662295823,30/01/2015,
Downtown Dlj Songs,DOW,,647171538,06/03/2012,
Downtown Dmp Songs,DOW,,508176945,21/06/2011,
Downtown Music Benelux,DTN,,747639598,24/11/2014,
Downtown Music Uk Limited,EIM,,808728415,12/10/2011,
DP,0,Public Domain,,,
DPRS,145,United Kingdom,,,
DRCC,186,Canada,,,
Dreamer Music Publishing Cc,DMP,,573663228,12/10/2012,
DUCHAMP INCD/B/A,DUC,,627938311,13/12/2016,
E T Music Publishing,ETM,,455793515,14/06/2016,
Easy Tempo Europe Sl,ETE,,688921389,21/02/2014,
Easy Tempo Too,ETT,,671667024,18/10/2013,
Eaton Music Ltd,EAT,,86203875,07/05/2010,
EAU,116,Estonia,,,
ECAD,308,Brazil,,,
Edition Bjorlund,EDB,,645926025,29/11/2016,
Editions Img Liechti Et Cie,IMG,,458511349,12/04/2012,
EDITORA COMPANIA COLOMBIANA DE DISCOS S A,CDC,,478650121,26/04/2010,
Editorial Avenue,EDA,,291278447,28/10/2013,
EMI,EMI,,223437493,10/09/2002,
EMI CHRISTIAN MUSIC PUBLISHING,EMC,,257557533,06/07/2007,
Emi Music Publishing Italia Srl,EMI,,241326402,04/01/2010,
EMI MUSIC PUBLISHING LTD,EMI,,223437493,10/09/2002,
Emp Elements Music Publishing,EMO,,738771798,30/05/2016,
Encore Merci,ECM,,149762733,07/07/2015,
ENDEMOL MUSIC NEDERLAND,END,,506141788,10/11/2006,
Engine Co 35 Music Publishing,FIV,,405227591,30/06/2011,
Ep Music Limited,EPM,,528966898,07/09/2010,
Epm Electronic,EP,,771394910,08/09/2016,
Epm Music Usa,EP,,767119320,08/09/2016,
Epm Online,EP,,600428984,08/09/2016,
ESCAPE THE ORDINARY MUSIC,AE,,438585813,26/02/2009,
European Media Support (Ems) Bv,EMS,,267602262,03/11/2015,
Exhibeo North America,EXH,,757578975,14/10/2015,
Exhibeo Publishing,EXH,,759822101,17/03/2015,
Extrapolate Music,USE,,702487159,12/01/2017,
EXTREME AUSTRALIA PTY LTD,EXT,,400308324,01/11/2006,
EXTREME PRODUCTION MUSIC USA,EXT,,345600874,01/11/2006,
Face Three Music,TSM,,591229440,09/03/2011,
Faircloud Music,FCM,,701162889,14/02/2017,
Fairwood Music (Germany) Gmbh,FMG,,471891918,16/04/2010,
Fairwood Music Italia Srl,FWI,,493749994,04/01/2010,
Fairwood Music Ltd,FWD,,159896501,21/06/2012,
Famous Music Corporation,FA,,9740391,07/03/2000,
Fanfan Music Liechti & Cie,FAN,,692114744,08/04/2013,
Farrell Music Limited,FAR,,593191135,42011,
Fc Walvisch Bv,FCW,,284426746,03/11/2015,
FILMAUTOR,147,Bulgaria,,,
FILSCAP,32,Philippines,,,
Final Cue Music Library,FCU,,774969176,13/07/2015,
Final Mix Online Cc,FMO,,538273242,10/03/2015,
FINTAGE PUBLISHING AND COLLECTION B.V.,FIN,,274063276,10/11/2006,
FIREWORKS MUSIC LTD,FWM,,122369494,03/07/2009,
Firstcom,FC,,126621002,,
Firstworks Music International Limited,FMI,,642290754,28/11/2012,
FLIM JUS,187,Hungary,,,
Fm Entretenimiento Sas,FME,,230301732,14/06/2016,
FONOPERU,188,Peru,,,
FOX,FX,,214142125,22/05/2000,
Fox Fuse Llc,FXF,,719754802,14/04/2016,
Frederic Leibovitz Editeur,FLE,,146928641,15/11/2011,
Freibank Musikverlage Mark Chung E. K.,FBM,,216373875,20/06/2012,
Frog Music,FRM,,245694050,23/05/2017,
G 7 Music,G7M,,286256634,30/10/2015,
Galileo Music Communication G,GbhMC,,530120615,21/10/2013,
Galleryac Music,ACM,,600491389,24/04/2017,
Gelfand Rennert & Feldman Publishing,GRF,,784585977,24/09/2015,
GEMA,35,German Fed Rep,,,
Georgia Tunes,RMW,,557257230,26/01/2010,
Gerard Et Jerome Music,GJM,,621722085,03/11/2015,
GESAC,301,Belgium,,,
GESTOR,232,Czech Republic,,,
GIA Publications Inc.,GP,,249800554,03/05/2000,
Gismonti Edition,GIS,,54166194,08/04/2013,
Gl Music A/S,GLM,,616058067,42559,
Global Entertainment Songs,GTP,,768972274,23/11/2015,
Global Talent Publishing,GTP,,154214697,23/11/2015,
Good Sounds Amsterdam Publishing Bv,GSA,,541906163,03/11/2015,
Good-Tunes-Music Ag,GOT,,62947262,08/04/2013,
Greengate Media,GGM,,590527731,05/04/2017,
GREENSLEEVES PUBLISHING LIMITED,GRE,,46955058,24/07/2009,
Grow Your Own Music,ASM,,468164333,19/04/2011,
HAA,144,Croatia,,,
Hacate Scandinavia,HAC,,750128760,24/11/2014,
