"Validity start date of territory hierarchy","Numeric TIS-code of higher level territory","Validity start date of higher level territory","Numeric TIS-code of lower level territory","Validity start date of lower level territory","Validity end date of territory hierarchy"
1000/1/1 00:00:00,2112,1000/1/1 00:00:00,659,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2112,1000/1/1 00:00:00,662,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2112,1000/1/1 00:00:00,670,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2112,1000/1/1 00:00:00,780,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2113,1000/1/1 00:00:00,84,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2113,1000/1/1 00:00:00,188,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2113,1000/1/1 00:00:00,222,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2113,1000/1/1 00:00:00,320,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2113,1000/1/1 00:00:00,340,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2113,1000/1/1 00:00:00,558,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2113,1000/1/1 00:00:00,591,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2119,1000/1/1 00:00:00,8,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2119,1000/1/1 00:00:00,100,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2119,1000/1/1 00:00:00,200,1000/1/1 00:00:00,1992/12/31 00:00:00
1000/1/1 00:00:00,2119,1000/1/1 00:00:00,278,1000/1/1 00:00:00,1990/10/2 00:00:00
1000/1/1 00:00:00,2119,1000/1/1 00:00:00,348,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2119,1000/1/1 00:00:00,616,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2119,1000/1/1 00:00:00,642,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2119,1000/1/1 00:00:00,810,1000/1/1 00:00:00,1991/12/31 00:00:00
1000/1/1 00:00:00,2120,1000/1/1 00:00:00,352,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2120,1000/1/1 00:00:00,470,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2120,1000/1/1 00:00:00,2111,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2120,1000/1/1 00:00:00,2122,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,20,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,40,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,56,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,246,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,250,1000/1/1 00:00:00,3999/12/31 00:00:00
