"Numeric TIS-code of territory","Validity start date of territory","Validity start date of territory name code","Alphanumeric ISO-code of language","Territory name","Official territory name","Abbreviated territory name","Unofficial territory name"
76,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BRASIL","REPUBLICA FEDERATIVA DE BRASIL","BRASIL",
76,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BRESIL","REPUBLIQUE FEDERATIVE DU BRESIL","BRESIL",
84,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","BELIZE",,"BELIZE",
84,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BELIZE",,"BELIZE",
84,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BELIZE",,"BELIZE",
84,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BELIZE",,"BELIZE",
90,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","SALOMONEN",,"SALOMONEN",
90,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","SOLOMON ISLANDS",,"SOLOMON ISLANDS",
90,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","ISLAS SALOMON",,"ISLAS SALOMON",
90,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","SALOMON, ILES",,"ILES SALOMON",
96,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","BRUNEI DARUSSALAM",,"BRUNEI",
96,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BRUNEI DARUSSALAM",,"BRUNEI",
96,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BRUNEI DARUSSALAM",,"BRUNEI",
96,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BRUNEI DARUSSALAM",,"BRUNEI",
100,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","BULGARIEN","REPUBLIK BULGARIEN","BULGARIEN",
100,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BULGARIA","REPUBLIC OF BULGARIA","BULGARIA",
100,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BULGARIA","REPUBLICA DE BULGARIA","BULGARIA",
100,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BULGARIE","REPUBLIQUE DE BULGARIE","BULGARIE",
104,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","BIRMA",,"BIRMA","BURMA"
104,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BURMA",,"BURMA",
104,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BURMA",,"BURMA",
104,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BIRMANIE",,"BIRMANIE",
104,1000/01/01 00:00:00,1989/01/01 00:00:00,"DE","MYANMAR","REPUBLIK DER UNION MYANMAR","MYANMAR",
104,1000/01/01 00:00:00,1989/01/01 00:00:00,"EN","MYANMAR","REPUBLIC OF THE UNION OF MYANMAR","MYANMAR",
104,1000/01/01 00:00:00,1989/01/01 00:00:00,"ES","MIANMAR","REPUBLICA DE LA UNION DE MYANMAR","MIANMAR",
104,1000/01/01 00:00:00,1989/01/01 00:00:00,"FR","MYANMAR","REPUBLIQUE DE L UNION DU MYANMAR","MYANMAR",
108,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","BURUNDI","REPUBLIK BURUNDI","BURUNDI",
108,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BURUNDI","REPUBLIC OF BURUNDI","BURUNDI",
108,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BURUNDI","REPUBLICA DE BURUNDI","BURUNDI",
108,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BURUNDI","REPUBLIQUE DU BURUNDI","BURUNDI",
112,1992/01/01 00:00:00,1992/01/01 00:00:00,"DE","BELARUS","REPUBLIK BELARUS","BELARUS","WEISSRUSSLAND"
112,1992/01/01 00:00:00,1992/01/01 00:00:00,"EN","BELARUS","REPUBLIC OF BELARUS","BELARUS",
112,1992/01/01 00:00:00,1992/01/01 00:00:00,"ES","BELARUS","REPUBLICA DE BELARUS","BELARUS",
112,1992/01/01 00:00:00,1992/01/01 00:00:00,"FR","BELARUS","REPUBLIQUE DU BELARUS","BELARUS",
116,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","KAMBODSCHA","KOENIGREICH KAMBODSCHA","KAMBODSCHA",
116,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","CAMBODIA","KINGDOM OF CAMBODIA","CAMBODIA",
116,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","CAMBOYA","REINO DE CAMBOYA","CAMBOYA",
116,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","CAMBODGE","ROYAUME DU CAMBODGE","CAMBODGE",
120,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","KAMERUN","REPUBLIK KAMERUN","KAMERUN",
120,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","CAMEROON","REPUBLIC OF CAMEROON","CAMEROON",
120,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","CAMERUN","REPUBLICA DE CAMERUN","CAMERUN",
120,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","CAMEROUN","REPUBLIQUE DU CAMEROUN","CAMEROUN",
124,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","KANADA",,"KANADA",
124,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","CANADA",,"CANADA",
124,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","CANADA",,"CANADA",
124,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","CANADA",,"CANADA",
132,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","KAP VERDE","REPUBLIK KAP VERDE","KAP VERDE",
132,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","CAPE VERDE","REPUBLIC OF CAPE VERDE","CAPE VERDE",
132,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","CABO VERDE","REPUBLICA DE CABO VERDE","CABO VERDE",
132,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","CAP-VERT","REPUBLIQUE DU CAP-VERT","CAP-VERT",
140,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","ZENTRALAFRIKANISCHE REPUBLIK",,"ZENTRALAFR.REP.",
