"Numeric TIS-code of territory","Validity start date of territory","Validity end date of territory","Usability indicator of territory","Remarks on territory","Territory type"
558,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
562,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
566,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
578,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
583,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
584,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
585,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
586,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
591,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
598,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
600,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
604,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
608,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
616,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
620,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
624,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
626,2002/05/20 00:00:00,3999/12/31 00:00:00,1,,"country"
630,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
634,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
642,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
643,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
646,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
659,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
662,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
670,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
674,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
678,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
682,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
686,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
688,2006/06/03 00:00:00,3999/12/31 00:00:00,1,,"country"
690,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
694,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
702,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
703,1993/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
704,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
705,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
706,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
710,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
716,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
720,1000/01/01 00:00:00,1990/05/21 00:00:00,1,,"country"
724,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
728,2011/07/09 00:00:00,3999/12/31 00:00:00,1,,"country"
729,2011/07/09 00:00:00,3999/12/31 00:00:00,1,,"country"
732,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
736,1000/01/01 00:00:00,2011/07/08 00:00:00,1,,"country"
740,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
748,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
752,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
756,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
760,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
762,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
764,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
768,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
776,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
780,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
784,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
788,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
792,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
795,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
798,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
800,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
804,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
807,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
810,1000/01/01 00:00:00,1991/12/31 00:00:00,1,,"country"
818,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
826,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
834,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
840,1000/01/01 00:00:00,3999/12/31 00:00:00,1,"TIS-N 840 UNITED STATES IN THE MEANING OF THIS STANDARD DOES NOT INCLUDE PUERTO RICO. CF. ENTRY TIS-N 630 PUERTO RICO.","country"
854,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
858,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
860,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
862,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
882,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
886,1000/01/01 00:00:00,1990/05/21 00:00:00,1,,"country"
887,1990/05/22 00:00:00,3999/12/31 00:00:00,1,,"country"
890,1000/01/01 00:00:00,1991/12/31 00:00:00,1,,"country"
891,1992/01/01 00:00:00,2006/06/02 00:00:00,1,,"country"
894,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
2100,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2101,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2102,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2103,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2104,1989/11/07 00:00:00,3999/12/31 00:00:00,1,,"economical country-group"
2105,1967/08/08 00:00:00,3999/12/31 00:00:00,1,,"economical country-group"
2106,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2107,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2108,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2109,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2110,1948/01/01 00:00:00,3999/12/31 00:00:00,1,,"economical country-group"
2111,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2112,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"political country-group"
2113,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2114,1931/01/01 00:00:00,3999/12/31 00:00:00,1,,"political country-group"
2115,1931/01/01 00:00:00,3999/12/31 00:00:00,1,,"political country-group"
2116,1931/01/01 00:00:00,3999/12/31 00:00:00,1,,"political country-group"
2117,1931/01/01 00:00:00,3999/12/31 00:00:00,1,,"political country-group"
2118,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"political country-group"
2119,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2120,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2121,1994/01/01 00:00:00,3999/12/31 00:00:00,1,,"economical country-group"
2122,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2123,1958/01/01 00:00:00,3999/12/31 00:00:00,1,,"political country-group"
2124,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2125,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2126,1994/01/01 00:00:00,3999/12/31 00:00:00,1,,"economical country-group"
2127,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2128,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2129,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2130,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2131,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2132,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2133,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2134,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
2136,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"geographical country-group"
